"race_eth","count","percent_group","rates","percent_pop"
"African American","2258","1.90211","4756.38784","2.36"
"Asian","20420","17.20158","3116.58183","35.65"
"Latino","59749","50.3319","10924.63249","25.78"
"Native Hawaiian & Other Pacific Islander","585","0.4928","8287.29282","0.32"
"White","16064","13.53214","2396.19211","32.04"
"Other","8562","7.21253",,"3.85"
"Unknown","11072","9.32693",,
