"race_eth","count","percent_group","rates","percent_pop"
"African American","363","1.8","764.6","2.36"
"Asian","2133","10.4","325.5","35.65"
"Latino","11617","56.6","2124.1","25.78"
"Native Hawaiian & Other Pacific Islander","110","0.5","1558.3","0.32"
"White","2193","10.7","327.1","32.04"
"Other","1346","6.6",,"3.85"
"Unknown","2749","13.4",,
