"race_eth","count","percent_group","rates","percent_pop"
"African American","411","1.65279","865.75527","2.36"
"Asian","2601","10.45965","396.97499","35.65"
"Latino","14273","57.39735","2609.70526","25.78"
"Native Hawaiian & Other Pacific Islander","123","0.49463","1742.45644","0.32"
"White","2750","11.05883","410.2047","32.04"
"Other","1650","6.6353",,"3.85"
"Unknown","3059","12.30144",,
