"race_eth","count","percent_group","rates","percent_pop"
"African American","1886","1.81787","3972.78453","2.36"
"Asian","16864","16.25477","2573.85093","35.65"
"Latino","53009","51.094","9692.27675","25.78"
"Native Hawaiian & Other Pacific Islander","489","0.47133","6927.32682","0.32"
"White","13513","13.02483","2015.67131","32.04"
"Other","7467","7.19725",,"3.85"
"Unknown","10520","10.13995",,
