"race_eth","count","percent_group","rates","percent_pop"
"African American","271","1.9","570.9","2.36"
"Asian","1462","10.3","223.1","35.65"
"Latino","7723","54.4","1412.1","25.78"
"Native Hawaiian & Other Pacific Islander","84","0.6","1190","0.32"
"White","1595","11.2","237.9","32.04"
"Other","976","6.9",,"3.85"
"Unknown","2096","14.8",,
