"race_eth","count","percent_group","rates","percent_pop"
"African American","2070","1.8352","4360.37326","2.36"
"Asian","18842","16.70479","2875.74118","35.65"
"Latino","57441","50.92558","10502.63293","25.78"
"Native Hawaiian & Other Pacific Islander","537","0.47609","7607.30982","0.32"
"White","14909","13.2179","2223.90613","32.04"
"Other","8103","7.18389",,"3.85"
"Unknown","10892","9.65654",,
