"race_eth","count","percent_group","rates","percent_pop"
"African American","1627","1.6037","3427.21126","2.36"
"Asian","13034","12.84733","1989.30106","35.65"
"Latino","49015","48.31301","8962.00541","25.78"
"Native Hawaiian & Other Pacific Islander","396","0.39033","5609.85975","0.32"
"White","12227","12.05189","1823.84468","32.04"
"Other","11477","11.31263",,"3.85"
"Unknown","13677","13.48112",,
