"race_eth","count","percent_group","rates","percent_pop"
"African American","1173","1.77003","2470.87818","2.36"
"Asian","9995","15.08224","1525.47676","35.65"
"Latino","34258","51.69458","6263.80458","25.78"
"Native Hawaiian & Other Pacific Islander","300","0.45269","4249.89375","0.32"
"White","8162","12.31628","1217.48755","32.04"
"Other","4367","6.58971",,"3.85"
"Unknown","8015","12.09446",,
