"race_eth","count","percent_group","rates","percent_pop"
"African American","301","1.9","634","2.36"
"Asian","1612","10","246","35.65"
"Latino","8822","54.6","1613","25.78"
"Native Hawaiian & Other Pacific Islander","91","0.6","1289.1","0.32"
"White","1752","10.8","261.3","32.04"
"Other","1157","7.2",,"3.85"
"Unknown","2416","15",,
