"race_eth","count","percent_group","rates","percent_pop"
"African American","2776","1.9182","5847.53439","2.36"
"Asian","20934","14.46527","3195.03056","35.65"
"Latino","69284","47.87485","12668.03189","25.78"
"Native Hawaiian & Other Pacific Islander","706","0.48784","10001.41663","0.32"
"White","21093","14.57514","3146.34463","32.04"
"Other","15030","10.38564",,"3.85"
"Unknown","14896","10.29305",,
