"race_eth","count","percent_group","rates","percent_pop"
"African American","7272","1.71526","16067.52248","2.4"
"Asian","87420","20.61997","12501.25127","37.7"
"Latino","137034","32.32254","27910.41554","26.5"
"Native Hawaiian & Other Pacific Islander","2590","0.61091","41579.70782","0.3"
"White","67984","16.03555","11183.36314","32.8"
"Other","50333","11.87217","914314.25976","0.3"
"Unknown","71325","16.8236",,
