"race_eth","count","percent_group","rates","percent_pop"
"African American","2104","1.83784","4431.99292","2.36"
"Asian","19261","16.82448","2939.69063","35.65"
"Latino","58148","50.79226","10631.90229","25.78"
"Native Hawaiian & Other Pacific Islander","553","0.48305","7833.97082","0.32"
"White","15213","13.28855","2269.2524","32.04"
"Other","8241","7.19851",,"3.85"
"Unknown","10962","9.5753",,
