"race_eth","count","percent_group","rates","percent_pop"
"African American","1046","1.78386","2203.3577","2.36"
"Asian","8705","14.84558","1328.59181","35.65"
"Latino","31126","53.08252","5691.14313","25.78"
"Native Hawaiian & Other Pacific Islander","269","0.45875","3810.73806","0.32"
"White","7124","12.14933","1062.65392","32.04"
"Other","3665","6.25032",,"3.85"
"Unknown","6702","11.42964",,
