"race_eth","count","percent_group","rates","percent_pop"
"African American","355","1.8","747.8","2.36"
"Asian","2036","10.3","310.7","35.65"
"Latino","11055","56.2","2021.3","25.78"
"Native Hawaiian & Other Pacific Islander","106","0.5","1501.6","0.32"
"White","2121","10.8","316.4","32.04"
"Other","1307","6.6",,"3.85"
"Unknown","2703","13.7",,
