"race_eth","count","percent_group","rates","percent_pop"
"African American","1354","1.61855","2852.14754","2.36"
"Asian","10207","12.2013","1557.83304","35.65"
"Latino","40094","47.9278","7330.87106","25.78"
"Native Hawaiian & Other Pacific Islander","315","0.37655","4462.38844","0.32"
"White","9905","11.8403","1477.48275","32.04"
"Other","9146","10.933",,"3.85"
"Unknown","12634","15.1025",,
