"race_eth","count","percent_group","rates","percent_pop"
"African American","638","1.93421","1343.92181","2.36"
"Asian","4370","13.24845","666.96683","35.65"
"Latino","19231","58.30226","3516.23638","25.78"
"Native Hawaiian & Other Pacific Islander","165","0.50023","2337.44156","0.32"
"White","4083","12.37835","609.0421","32.04"
"Other","1552","4.70517",,"3.85"
"Unknown","2946","8.93133",,
