"race_eth","count","percent_group","rates","percent_pop"
"African American","2118","1.84259","4461.48337","2.36"
"Asian","19367","16.84863","2955.86877","35.65"
"Latino","58327","50.74252","10664.63102","25.78"
"Native Hawaiian & Other Pacific Islander","558","0.48544","7904.80238","0.32"
"White","15288","13.30004","2280.4398","32.04"
"Other","8280","7.20332",,"3.85"
"Unknown","11009","9.57746",,
