"race_eth","count","percent_group","rates","percent_pop"
"African American","2221","1.88276","4678.4488","2.36"
"Asian","20132","17.06608","3072.62612","35.65"
"Latino","59441","50.38867","10868.31712","25.78"
"Native Hawaiian & Other Pacific Islander","579","0.49082","8202.29494","0.32"
"White","15920","13.49553","2374.7123","32.04"
"Other","8535","7.2352",,"3.85"
"Unknown","11137","9.44094",,
