"race_eth","count","percent_group","rates","percent_pop"
"African American","383","1.7","806.8","2.36"
"Asian","2350","10.5","358.7","35.65"
"Latino","12866","57.4","2352.4","25.78"
"Native Hawaiian & Other Pacific Islander","117","0.5","1657.5","0.32"
"White","2436","10.9","363.4","32.04"
"Other","1487","6.6",,"3.85"
"Unknown","2780","12.4",,
