"race_eth","count","percent_group","rates","percent_pop"
"African American","395","1.7","832.1","2.36"
"Asian","2469","10.5","376.8","35.65"
"Latino","13498","57.5","2468","25.78"
"Native Hawaiian & Other Pacific Islander","120","0.5","1700","0.32"
"White","2583","11","385.3","32.04"
"Other","1568","6.7",,"3.85"
"Unknown","2825","12",,
