"race_eth","count","percent_group","rates","percent_pop"
"African American","380","1.7","800.5","2.36"
"Asian","2315","10.5","353.3","35.65"
"Latino","12583","57.3","2300.7","25.78"
"Native Hawaiian & Other Pacific Islander","116","0.5","1643.3","0.32"
"White","2377","10.8","354.6","32.04"
"Other","1453","6.6",,"3.85"
"Unknown","2754","12.5",,
