"race_eth","count","percent_group","rates","percent_pop"
"African American","349","1.8","735.2","2.36"
"Asian","1974","10.3","301.3","35.65"
"Latino","10725","56","1961","25.78"
"Native Hawaiian & Other Pacific Islander","106","0.6","1501.6","0.32"
"White","2071","10.8","308.9","32.04"
"Other","1285","6.7",,"3.85"
"Unknown","2633","13.8",,
