"race_eth","count","percent_group","rates","percent_pop"
"African American","1472","1.8","3100.7","2.36"
"Asian","12476","15.5","1904.1","35.65"
"Latino","40932","50.9","7484.1","25.78"
"Native Hawaiian & Other Pacific Islander","358","0.4","5071.5","0.32"
"White","10228","12.7","1525.7","32.04"
"Other","5658","7",,"3.85"
"Unknown","9342","11.6",,
