"race_eth","count","percent_group","rates","percent_pop"
"African American","375","1.7","789.9","2.36"
"Asian","2256","10.5","344.3","35.65"
"Latino","12249","57.1","2239.6","25.78"
"Native Hawaiian & Other Pacific Islander","112","0.5","1586.6","0.32"
"White","2306","10.7","344","32.04"
"Other","1417","6.6",,"3.85"
"Unknown","2742","12.8",,
