"race_eth","count","percent_group","rates","percent_pop"
"African American","417","1.65878","878.39403","2.36"
"Asian","2633","10.47377","401.85896","35.65"
"Latino","14405","57.3014","2633.84042","25.78"
"Native Hawaiian & Other Pacific Islander","125","0.49724","1770.78906","0.32"
"White","2780","11.05851","414.67966","32.04"
"Other","1676","6.66693",,"3.85"
"Unknown","3103","12.34337",,
