"race_eth","count","percent_group","rates","percent_pop"
"African American","177","1.8","372.8","2.36"
"Asian","1047","10.9","159.8","35.65"
"Latino","4571","47.6","835.8","25.78"
"Native Hawaiian & Other Pacific Islander","65","0.7","920.8","0.32"
"White","1185","12.3","176.8","32.04"
"Other","789","8.2",,"3.85"
"Unknown","1778","18.5",,
