"race_eth","count","percent_group","rates","percent_pop"
"African American","2083","1.83297","4387.75725","2.36"
"Asian","19055","16.76772","2908.25009","35.65"
"Latino","57798","50.86016","10567.90756","25.78"
"Native Hawaiian & Other Pacific Islander","545","0.47958","7720.64032","0.32"
"White","15057","13.24962","2245.9826","32.04"
"Other","8167","7.18667",,"3.85"
"Unknown","10936","9.62329",,
