"race_eth","count","percent_group","rates","percent_pop"
"African American","2125","1.84691","4476.22859","2.36"
"Asian","19396","16.85773","2960.29487","35.65"
"Latino","58363","50.72529","10671.21334","25.78"
"Native Hawaiian & Other Pacific Islander","558","0.48498","7904.80238","0.32"
"White","15318","13.3134","2284.91476","32.04"
"Other","8284","7.19991",,"3.85"
"Unknown","11013","9.57178",,
